"","OrganizationVsSelf","OrganizationVsSelf2","TDDPermitted","InHouseVsConsultancy","IndividualVsManyProjects","CreatingVsMaintaining","YearsExperience","PracticeTDD","WantTDD","Attitude","AttitudeQuality1","AttitudeTime","AttitudeQuality2","AttitudeMaintainability","AttitudeEfficiency","AttitudeChangeability","SubjectiveNorm1","SubjectiveNorm2","SubjectiveNormTime","SubjectiveNormMaintainability","SubjectiveNormQuality","SubjectiveNormChangeability","TeamTDD","UnitTestDifficulty","TDDDifficulty","TDDExperience","Intention","AttitudeTimeOriginal","SubjectiveNormTimeOriginal","SubjectiveNorm","AttitudeQuality"
"106","Organization","","Yes","In-house software developer","Many projects","Both",12,"No","No",3,3,3,4,3,3,3,5,3,4,3,5,3,5,3,5,6,0,5,4,4,3.5
"107","Organization","","Yes","In-house software developer","Many projects","Both",15,"Yes","N/A",6,6,7,5,5,5,5,3,6,6,3,3,4,4,4,2,6,1,1,2,4.5,5.5
"108","Organization","","Yes","In-house software developer","Individual product","Both",10,"No","Yes",7,7,5,7,5,4,5,1,6,3,4,4,4,5,3,2,7,1,3,5,3.5,7
"109","Organization","","Yes","In-house software developer","Individual product","Both",15,"Yes","N/A",5,6,1,6,1,6,1,6,5,1,5,6,2,6,4,4,7,1,7,7,5.5,6
"110","Organization","","Yes","Software Development Consultancy","Many projects","Creating new greenfield applications",13,"No","Yes",5,5,6,7,5,6,4,3,7,3,4,4,4,5,6,4,5,1,2,5,5,6
"111","Organization","","Yes","Software Development Consultancy","Many projects","Both",12,"Yes","Yes",6,7,5,7,7,5,6,2,5,2,6,6,5,3,2,2,7,1,3,6,3.5,7
"112","Organization","","N/A","In-house software developer","Many projects","Maintaining existing applications",15,"Yes","N/A",6,7,5,7,7,5,7,1,7,1,2,2,2,2,2,3,7,1,3,7,4,7
"113","Organization","","Yes","In-house software developer","Individual product","Creating new greenfield applications",10,"Yes","Yes",6,6,5,6,7,4,7,7,6,7,7,6,7,7,5,5,7,1,3,1,6.5,6
"114","Organization","","Yes","In-house software developer","Individual product","Creating new greenfield applications",10,"Yes","N/A",5,5,5,4,5,4,6,5,6,7,6,6,5,5,5,3,4,1,3,1,5.5,4.5
"115","Organization","","No","In-house software developer","Many projects","Both",8,"Yes","N/A",6,6,6,5,5,4,6,5,7,6,6,5,6,4,3,5,6,1,2,2,6,5.5
"116","Organization","","Yes","In-house software developer","Many projects","Both",12,"Yes","N/A",7,7,7,7,7,7,4,1,7,4,4,4,4,2,2,2,3,1,1,4,4,7
"117","Organization","","Yes","In-house software developer","Many projects","Creating new greenfield applications",7,"Yes","N/A",5,6,7,6,6,3,7,5,6,7,6,6,4,5,7,7,5,1,1,1,5.5,6
"118","Organization","","Yes","In-house software developer","Individual product","Both",8,"Yes","N/A",7,7,6,7,7,5,7,5,5,4,4,4,5,1,3,3,5,1,2,4,5,7
"119","Organization","","Yes","Software Development Consultancy","Many projects","Maintaining existing applications",2,"Yes","N/A",7,7,2,2,5,5,4,6,5,6,6,6,5,6,4,6,6,1,6,2,5.5,4.5
"120","Organization","","Yes","In-house software developer","Many projects","Maintaining existing applications",10,"Yes","N/A",7,7,6,6,7,6,7,5,4,6,4,5,5,5,2,2,7,1,2,2,4.5,6.5
"121","Organization","","Yes","In-house software developer","Individual product","Maintaining existing applications",15,"Yes","N/A",7,7,7,7,7,7,7,6,7,7,4,5,5,5,4,3,6,1,1,1,6.5,7
"122","Organization","","Yes","Software Development Consultancy","Individual product","Creating new greenfield applications",4,"Yes","N/A",5,6,5,7,6,5,6,5,7,6,6,6,6,6,7,4,5,1,3,2,6,6.5
"123","Organization","","Yes","In-house software developer","Many projects","Both",10,"Yes","N/A",5,7,6,6,5,6,5,1,7,1,6,6,5,1,1,1,7,1,2,7,4,6.5
"124","Organization","","Yes","In-house software developer","Individual product","Both",8,"Yes","N/A",5,5,4,4,4,5,4,6,6,6,5,5,5,5,3,3,7,1,4,2,6,4.5
"125","Organization","","Yes","Software Development Consultancy","Many projects","Both",8,"Yes","N/A",7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7
"126","Organization","","Yes","Software Development Consultancy","Many projects","Maintaining existing applications",17,"Yes","Yes",6,6,6,5,6,5,7,4,6,5,6,5,6,5,5,5,5,1,2,3,5,5.5
"127","Organization","","Yes","In-house software developer","Many projects","Both",10,"Yes","N/A",7,7,6,7,7,6,7,5,5,5,5,5,5,5,3,2,6,1,2,3,5,7
"128","Organization","","Yes","In-house software developer","Individual product","Maintaining existing applications",3,"No","No",1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,7,0,7,4,4,1
"129","Organization","","Yes","Software Development Consultancy","Many projects","Creating new greenfield applications",15,"Yes","N/A",5,5,5,5,4,4,2,7,6,7,7,7,7,7,2,2,7,1,3,1,6.5,5
"130","Organization","","Yes","In-house software developer","Individual product","Both",5,"Yes","N/A",6,7,4,7,6,4,5,4,6,7,1,4,1,4,5,5,4,1,4,1,5,7
"131","Organization","","Yes","In-house software developer","Individual product","Both",15,"Yes","N/A",7,7,7,7,7,7,7,7,7,5,6,6,5,4,1,1,7,1,1,3,7,7
"132","Organization","","Yes","In-house software developer","Individual product","Both",10,"Yes","N/A",5,4,6,4,3,4,3,5,7,7,3,3,4,5,5,1,7,1,2,1,6,4
"133","Organization","","Yes","In-house software developer","Individual product","Both",15,"Yes","N/A",7,7,5,4,4,5,7,7,4,5,6,4,6,7,5,5,7,1,3,3,5.5,5.5
"134","Myself","","Yes","N/A","Many projects","Creating new greenfield applications",4,"Yes","N/A",7,7,6,7,7,6,7,4,6,6,5,5,5,2,3,2,6,1,2,2,5,7
"135","Organization","","Yes","In-house software developer","Many projects","Creating new greenfield applications",10,"Yes","N/A",4,5,3,4,6,5,6,4,2,4,4,5,5,6,2,4,5,1,5,4,3,4.5
"136","Organization","","Yes","Software Development Consultancy","Many projects","Both",18,"Yes","N/A",7,7,6,7,7,7,7,2,5,3,3,3,2,2,4,1,7,1,2,5,3.5,7
"137","Organization","","Yes","In-house software developer","Individual product","Both",31,"No","Yes",5,5,4,5,5,5,5,5,6,5,5,5,5,5,5,5,2,1,4,3,5.5,5
"138","Organization","","Yes","Software Development Consultancy","Many projects","Maintaining existing applications",14,"Yes","N/A",7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,1,7,1,1,1,7,6.5
"139","Organization","","Yes","In-house software developer","Individual product","Both",25,"Yes","N/A",6,6,5,7,7,4,7,6,5,7,7,7,7,7,5,6,7,1,3,1,5.5,6.5
"140","Organization","","Yes","In-house software developer","Many projects","Both",4,"No","Yes",6,6,5,6,7,6,7,4,6,5,6,6,5,1,3,4,6,1,3,3,5,6
"141","Organization","","Yes","In-house software developer","Individual product","Maintaining existing applications",3,"Yes","N/A",7,7,7,5,7,5,7,7,6,7,7,5,7,6,5,4,7,1,1,1,6.5,6
"142","Organization","","Yes","Software Development Consultancy","Individual product","Both",11,"Yes","N/A",6,6,7,6,4,5,6,7,5,7,5,6,6,7,2,2,6,1,1,1,6,6
"143","Organization","","Yes","In-house software developer","Many projects","Both",18,"Yes","N/A",7,7,7,7,7,6,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7
"144","Organization","","Yes","Software Development Consultancy","Many projects","Both",25,"No","No",4,4,3,5,5,3,4,4,5,4,3,3,4,3,4,5,5,0,5,4,4.5,4.5
"145","Organization","","Yes","Software Development Consultancy","Many projects","Maintaining existing applications",5,"No","Yes",7,7,5,6,6,6,7,2,6,1,4,5,5,1,5,4,3,1,3,7,4,6.5
"146","Organization","","Yes","In-house software developer","Many projects","Creating new greenfield applications",4,"Yes","N/A",7,7,6,7,6,5,6,1,7,4,4,4,4,4,2,1,7,1,2,4,4,7
